,date,usd_amount
0,2021-10,39.102388122118604
1,2021-11,112010.23530986693
2,2021-12,112327.22517479447
3,2022-01,76570.97674776532
4,2022-02,267262.5290641388
5,2022-03,254526.85247644488
6,2022-04,168349.66573081806
7,2022-05,632119.6301508399
8,2022-06,298699.7060702591
9,2022-07,715632.9134318884
10,2022-08,559386.7489999856
11,2022-09,619246.868018335
12,2022-10,485029.3722778601
13,2022-11,295755.4767722351
14,2022-12,231935.4331036538
15,2023-01,323121.7404519337
16,2023-02,591941.2765847546
17,2023-03,402539.46001731144
18,2023-04,371651.74705290265
19,2023-05,290408.63645671617
20,2023-06,293375.03413348075
21,2023-07,324905.5562683826
