contract_address,0x185880152b833718aafa97cc4b0d589dbde55f5e,0x4200000000000000000000000000000000000042,0x6fa6ae6da7ba171fb973eed4e541e80b7e5709c7,0x809dc529f07651bd43a172e8db6f4a7a0d771036
,Optimism,Optimism,Optimism,nETH
,OP,OP,OP,nETH
2021-12,0.0,0.0,0.0,5.05511831354249
2022-01,0.0,0.0,0.0,4.05511831354249
2022-02,0.0,0.0,0.0,4.05511831354249
2022-03,0.0,0.0,0.0,4.05511831354249
2022-04,0.0,0.0,0.0,4.05511831354249
2022-05,0.0,0.0,0.0,4.05511831354249
2022-06,0.0,0.0,0.0,4.05511831354249
2022-07,0.0,0.0,0.0,4.05511831354249
2022-08,0.0,0.0,0.0,4.05511831354249
2022-09,0.0,0.0,0.0,4.05511831354249
2022-10,0.0,0.0,0.0,4.05511831354249
2022-11,0.0,0.0,0.0,4.05511831354249
2022-12,0.0,0.0,0.0,4.05511831354249
2023-01,0.0,0.0,0.0,4.05511831354249
2023-02,0.0,0.0,0.0,4.05511831354249
2023-03,0.0,150000.00000000012,1.1260999999999997e-14,4.05511831354249
2023-04,1.4569999999999998e-15,150000.00000000012,1.1260999999999997e-14,4.05511831354249
2023-05,1.4569999999999998e-15,150000.00000000012,1.1260999999999997e-14,4.05511831354249
2023-06,1.4569999999999998e-15,150000.00000000012,1.1260999999999997e-14,4.05511831354249
2023-07,1.4569999999999998e-15,150000.00000000012,1.1260999999999997e-14,4.05511831354249
