contract_address,0x0b91b07beb67333225a5ba0259d55aee10e3a578,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x128a587555d1148766ef4327172129b50ec66e5d,0x1d2dae7a35da988767c9c99d7f9bfecf19fa0076,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x2e618eabe66818f4c6718c24f59c5694f0b2735a,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x9e2d266d6c90f6c0d80a88159b15958f7135b8af,0xa9de045d9e8b619ed12fc4947f10d371621de492,0xb6c473756050de474286bed418b77aeac39b02af,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0xd8ca34fd379d9ca3c6ee3b3905678320f5b45195,0xdc8282fcde3b35c50cf2d273d829c7ee114b2f25,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695
,Minereum Polygon,Wrapped Matic,USD LP,nETH,USD Coin (PoS),SIMP Token,(PoS) Dai Stablecoin,StakeShare,Polygon Liquidity Mining,nUSD,(PoS) Tether USD,Governance OHM,Boss Wallet,Synapse
,MNEP,WMATIC,USD-LP,nETH,USDC,SIMP,DAI,SSX,PLM,nUSD,USDT,gOHM,BOS,SYN
2021-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.508219587872
2021-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30573.276177428677,0.0,0.0,0.0,791.2355016280101
2021-11,0.0,0.0,30011.183135269446,0.0,21758.322729,0.0,5397.782425508662,0.0,0.0,77841.26658447408,10206.267056,0.0,0.0,836.4325122613311
2021-12,0.0,0.0,30011.183135269446,0.0,21758.322729,0.0,5397.782425508662,923000.0,0.0,77841.26658447408,10206.267056,0.0,0.0,836.4325122613311
2022-01,300000.0,0.0,30011.183135269446,0.0,21758.322729,0.0,5397.782425508662,923000.0,0.0,191952.24794927932,10206.267056,0.6616272138702037,0.0,943.020965296182
2022-02,300000.0,0.0,30011.183135269446,0.0,21758.322729,0.0,5397.782425508662,990318.0,0.0,191952.24794927932,10206.267056,0.6616272138702037,0.0,943.020965296182
2022-03,300000.0,0.0,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,990318.0,18472.18,191952.24794927932,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-04,300000.0,0.0,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,990318.0,18472.18,191952.24794927932,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-05,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,990318.0,34502.9216938762,191952.24794927932,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-06,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,990318.0,91868.86273367779,191952.24794927932,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-07,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,1829318.0,91868.86273367779,191952.24794927932,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-08,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,1829318.0,91868.86273367779,191952.24794927932,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-09,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,1829318.0,91868.86273367779,191952.24794927932,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-10,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-11,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2022-12,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,0.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2023-01,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,29367.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2023-02,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,29367.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2023-03,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,29367.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,0.0,943.020965296182
2023-04,300000.0,18362.050261584503,30011.183135269446,0.0,32832.925195,29367.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,969.0,943.020965296182
2023-05,300000.0,18362.050261584503,30011.183135269446,3.31e-16,32832.925195,29367.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,969.0,943.020965296182
2023-06,300000.0,18362.050261584503,30011.183135269446,3.31e-16,32832.925195,29367.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,969.0,943.020965296182
2023-07,300000.0,18362.050261584503,30011.183135269446,3.31e-16,32832.925195,29367.0,15556.941686363338,1829318.0,91868.86273367779,391147.4770183728,19039.760559000002,0.6616272138702037,969.0,943.020965296182
