,date,usd_amount
0,2021-09,886.9630475611408
1,2021-10,33098.05057592468
2,2021-11,147185.09328377031
3,2021-12,147840.69650986439
4,2022-01,264719.22376375116
5,2022-02,264933.2938121602
6,2022-03,296322.50456114014
7,2022-04,293376.56440721464
8,2022-05,305186.350500887
9,2022-06,300941.0292198346
10,2022-07,310165.4734346046
11,2022-08,306862.4347217827
12,2022-09,306370.41971346235
13,2022-10,507910.34478844807
14,2022-11,506281.4140987184
15,2022-12,504864.87824199017
16,2023-01,512000.1514904159
17,2023-02,514697.903218003
18,2023-03,511482.9845396626
19,2023-04,509819.07538113033
20,2023-05,507503.7775177391
21,2023-06,502427.46438714134
22,2023-07,505309.4040893009
