date,usd_amount
2021-08,8620554.586587954
2021-09,3556673.683294352
2021-10,2152277.345070159
2021-11,13750624.997336656
2021-12,14144462.277229967
2022-01,12691875.823069302
2022-02,17325251.424003225
2022-03,17105464.703150198
2022-04,17562127.085366257
2022-05,10358811.205766067
2022-06,5638361.683869892
2022-07,11686977.45227644
2022-08,9407131.910316503
2022-09,10087404.908155026
2022-10,8788719.388568923
2022-11,6072149.506274371
2022-12,6479063.895135698
2023-01,8412509.479045844
2023-02,12607060.038194146
2023-03,10237048.403314905
2023-04,9814639.582653977
2023-05,9385548.213092497
2023-06,9347194.952345286
2023-07,9526126.74108078
